id,category,source,scope,evidence_class,status,notes
ZA-OFF-NEWS,official-global,https://legends.pokemon.com/en-gb/news,official Z-A news archive,Official primary,active-sweep,"Release news, Mega Dimension, Ranked Battles, distributions, HOME announcements"
ZA-OFF-HOME,official-global,https://legends.pokemon.com/en-us/news/pokemon-home-connectivity,HOME connectivity rules,Official primary,checked,"Transfer direction restrictions and compatibility"
ZA-OFF-US-UPDATES,official-us,https://en-americas-support.nintendo.com/app/answers/detail/a_id/68626,complete Nintendo US update history,Official primary,checked,"Ver.1.x and 2.x update history through 2.0.2"
ZA-OFF-HOME-APP,official-home,https://en-americas-support.nintendo.com/app/answers/detail/a_id/49104,Pokémon HOME update history,Official primary,checked,"HOME 4.0.0 adds Z-A compatibility"
ZA-OFF-HOME-MOVE,official-home,https://home.pokemon.com/en-gb/move/,supported games and movement rules,Official primary,checked,"Z-A and SV compatibility overview"
ZA-OFF-NINTENDO-BUNDLE,official-us,https://www.nintendo.com/us/store/products/pokemon-legends-z-a-bundle-game-plus-dlc-switch/,bundle/DLC/languages metadata,Official primary,checked,"11 supported languages including LATAM Spanish and Canadian French"
ZA-GH-PKNX,github-tool,https://github.com/kwsch/pkNX,data dump parsers and structures,Reverse engineering,checked,"Z-A dumping support; current README assumes 2.0.0"
ZA-GH-KMEDITOR,github-tool,https://github.com/KotMatrosk1n/KM-Editor,game data editors and data models,Reverse engineering,checked,"Pokémon/moves/items/trainers/text/encounters/gifts/trades/shops/placement/models/audio"
ZA-GH-POKEDOCS,github-docs,https://github.com/pkZukan/PokeDocs,FlatBuffers hashes and metadata,Reverse engineering,checked,"Contains dedicated ZA tree"
ZA-GH-TEXTPORT,github-datamine,https://github.com/projectpokemon/za-textport,multilingual datamine text/trainers/raw data,Public datamine,checked,"JPN/Korean/English/French/German/Italian/Spanish/LATAM/Simplified/Traditional Chinese plus Raw/Scrubbed Data/Trainers"
ZA-GH-POKEDAT,github-tool,https://github.com/Digote/pokedat,.dat/.tbl text read/write/merge/split,Reverse engineering,checked,"Explicit LZA support; based on pkNX text implementation"
ZA-GH-ZATOOLS,github-tool,https://github.com/zbirow/Pokemon-Legends-Z-A-Tools,PFS0/NCA/TRPFS/TRPFD/FNV1a/resource formats,Reverse engineering,checked,"Documents data.trpfd/data.trpfs relationship and pack slicing"
ZA-GH-PLZA,github-datamine,https://github.com/Ruimusume/PLZA,personal/forms/items/moves/donut data,Public datamine,checked,"personal.txt pokemon_form.txt items ID.txt waza ID.txt donut tables"
ZA-GH-MODELIMPORT,github-tool,https://github.com/ChicoEevee/Pokemon-Switch-Model-Importer-Blender,models/animations/TRSKL/TRMSH/TRMBF/Trinity camera,Reverse engineering,checked,"Repository includes ZA raw-file/model/NPC references; some ZA support marked WIP"
ZA-GH-POKEMODBLENDER,github-tool,https://github.com/ChicoEevee/PokeModding-PLA-SV-Blender,Blender exporters and Trinity schemas,Reverse engineering,checked,"Shared Trinity-format tooling relevant to ZA lineage"
ZA-GH-SWITCHMODS,github-code,https://github.com/Martmists-GH/switch-mods,ZA debug tools and Trinity bypass,Reverse engineering,checked,"Runtime/hook research axis"
ZA-GH-MODCOLLECTION,github-community,https://github.com/borgox/Pokemon-Legends-Z-A-Mods,public mod/cheat aggregation,Community archive,checked,"147-mod collection with upstream forum/GitHub sources; not all tested"
ZA-GH-SWITCHTOOLBOX,github-tool,https://github.com/KillzXGaming/Switch-Toolbox,Nintendo Switch resource formats,Reverse engineering,checked,"Historical format inspection tool; archived"
ZA-WIKI-BULBA-POKEDEX,wiki,https://bulbapedia.bulbagarden.net/wiki/List_of_Pok%C3%A9mon_in_Pok%C3%A9mon_Legends%3A_Z-A,Pokémon availability/DLC/new Mega overview,Secondary database,checked,"Cross-check counts and version 2.0.0 changes against primary/datamine sources"
ZA-DB-SEREBII,secondary-db,https://www.serebii.net/legendsz-a/,game database,Secondary database,pending-deep-sweep,"Enumerate Pokémon, Mega Evolution, items, maps, quests, trainers, DLC and event subpages separately"
ZA-FORUM-PROJECTPOKEMON,community,https://projectpokemon.org/,datamine/event/research forum and downloads,Community/technical,pending-deep-sweep,"za-textport originates from Project Pokémon ecosystem"
ZA-FORUM-GBATEMP,community,https://gbatemp.net/threads/pokemon-legends-z-a-cheat-database.675579/,runtime cheats/addresses/mod research,Community reverse engineering,pending-deep-sweep,"Use as lead source only; verify every technical claim independently"
